Id,BB_Stats__c,Account_Number__c,BB_Last_Sync_Date__c,NS_Invoice_Due_Date__c,BB_Account__c,BB_Account_Sequence__c,Revenue_Account_ID__c,NS_Invoice_Amt_Due__c
0013i000006zJ7nAAE,5490968,,,,5490968,5490968-0,D00132235,0
0013i000006zJ9FAAU,7517895,,,,7517895,7517895-0,,0
0013i000006zJ9XAAU,8047156,,,,8047156,8047156-0,,0
0013i000006zJ9jAAE,7249894,,,,7249894,7249894-0,,0
0013i0000070V0eAAE,521231,,,,521231,521231-0,,0
0013i0000070V0wAAE,8344662,,,,8344662,8344662-0,,0
0013i0000070V1JAAU,6936452,,,,6936452,6936452-0,,0
0013i0000070V1MAAU,101121,,,,101121,101121-0,,0
0013i0000070V1XAAU,6611026,,,,6611026,6611026-0,,0
0013i0000070V1dAAE,325036,,,,325036,325036-0,,0
0013i0000070V20AAE,4689112,,,,4689112,4689112-0,,0
0013i0000070V34AAE,270815,,,,270815,270815-0,,0
0013i0000070V3NAAU,8558204,,,,8558204,8558204-0,,0
0013i0000070V3VAAU,595283,,,,595283,595283-0,,0
0013i0000070V3bAAE,391212,,,,391212,391212-0,W13632522,0
0013i0000070V3iAAE,4438405,,,,4438405,4438405-0,,0
0013i0000070V3xAAE,224358,,,,224358,224358-0,,0
0013i0000070V3zAAE,1383250,,,,1383250,1383250-0,,0
0013i0000070V4DAAU,216589,,,,216589,216589-0,,0
0013i0000070V4IAAU,407405,,,,407405,407405-0,,0
0013i0000070V4QAAU,5135700,,,,5135700,5135700-0,,0
0013i0000070V4WAAU,931344,,,,931344,931344-0,,0
0013i0000070V4mAAE,7546239,,,,7546239,7546239-0,,0
0013i0000070V4oAAE,4257718,,,,4257718,4257718-0,,0
0013i0000070V4rAAE,606449,,,,606449,606449-0,,0
0013i0000070V5qAAE,984584,,,,984584,984584-0,,0
0013i0000070V5sAAE,112480,,,,112480,112480-0,,0
0013i0000070V5uAAE,299912,,,2023-02-01,299912,299912-0,,1980.15
0013i0000070V7XAAU,885154,,,,885154,885154-0,,0
0013i0000070V7gAAE,304787,,,,304787,304787-0,,0
0013i0000070V8LAAU,1126187,,,,1126187,1126187-0,,0
0013i0000070V8YAAU,164688,,,,164688,164688-0,,0
0013i0000070V8sAAE,305464,,,,305464,305464-0,,0
0013i0000070V9AAAU,7376496,,,,7376496,7376496-0,,0
0013i0000070V9eAAE,4790464,,,,4790464,4790464-0,,0
0013i0000070V9nAAE,216205,,,,216205,216205-0,,0
0013i0000070VAdAAM,1084934,,,,1084934,1084934-0,,0
0013i0000070VBEAA2,1194313,,,,1194313,1194313-0,,0
0013i0000070VBdAAM,382355,,,,382355,382355-0,,0
0013i0000070VBoAAM,7406985,,,,7406985,7406985-0,,0
0013i0000070VC8AAM,327563,,,,327563,327563-0,,0
0013i0000070VCOAA2,362420,,,,362420,362420-0,,0
0013i0000070VCbAAM,5782504,,,,5782504,5782504-0,,0
